venue,city,total_matches,seasons_active,unique_teams_hosted
"Eden Gardens",Kolkata,77,11,7
"Wankhede Stadium",Mumbai,72,10,8
"M Chinnaswamy Stadium",Bangalore,62,9,6
"Feroz Shah Kotla",Delhi,59,9,5
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,48,8,3
"Sawai Mansingh Stadium",Jaipur,47,7,6
"MA Chidambaram Stadium, Chepauk",Chennai,47,6,4
"Wankhede Stadium, Mumbai",Mumbai,45,4,11
"Punjab Cricket Association Stadium, Mohali",Chandigarh,35,7,1
"Dubai International Cricket Stadium",NA,30,2,8
"Sheikh Zayed Stadium","Abu Dhabi",27,2,8
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,27,3,8
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,24,4,9
"Maharashtra Cricket Association Stadium",Pune,22,5,7
"Sharjah Cricket Stadium",NA,18,2,9
"Brabourne Stadium, Mumbai",Mumbai,17,2,8
"Dr DY Patil Sports Academy",Mumbai,17,3,5
"Arun Jaitley Stadium, Delhi",Delhi,16,3,7
"Subrata Roy Sahara Stadium",Pune,16,2,2
"Eden Gardens, Kolkata",Kolkata,16,3,8
