team,total_matches,total_wins,win_rate_pct
"Lucknow Super Giants",22,16,72.7
"Rising Pune Supergiant",7,5,71.4
"Chennai Super Kings",127,75,59.1
"Mumbai Indians",121,69,57.0
"Rajasthan Royals",100,55,55.0
"Kolkata Knight Riders",117,64,54.7
"Delhi Capitals",39,21,53.8
"Gujarat Titans",21,11,52.4
"Sunrisers Hyderabad",85,43,50.6
"Royal Challengers Bangalore",130,64,49.2
"Kings XI Punjab",92,43,46.7
"Delhi Daredevils",84,38,45.2
"Royal Challengers Bengaluru",9,4,44.4
"Kochi Tuskers Kerala",7,3,42.9
"Punjab Kings",31,11,35.5
"Deccan Chargers",39,13,33.3
"Gujarat Lions",15,5,33.3
"Rising Pune Supergiants",7,2,28.6
"Pune Warriors",23,6,26.1
